"id";"amount";"created";"currency";"description";"fee";"net";"source";"status";"type"
"txn_1IZ4D0CmAIcalbBuIJmAM3bE";-269;"2021-03-26T01:11:29Z";"eur";"Curso pedido 45229";"-4,035";"-264,965";"po_1IZ4D0CmAIcalbBuh2nAcEbw";"available";"payout"
"txn_1HU09TCmAIcalbBubz3FimTw";-299;"2020-09-22T01:18:39Z";"eur";"Curso pedido 45235";"-4,485";"-294,515";"po_1HU09TCmAIcalbBuK7CXOXUS";"available";"payout"
"txn_1JStifCmAIcalbBuOweh6LcR";-299;"2021-08-27T01:18:57Z";"eur";"Curso pedido 45292";"-4,485";"-294,515";"po_1JStifCmAIcalbBufU6GafKt";"available";"payout"
"txn_1GUjL3CmAIcalbBu0pZG6YXm";-299;"2020-04-06T01:01:21Z";"eur";"Curso pedido 45293";"-4,485";"-294,515";"po_1GUjL3CmAIcalbBuNoVitaye";"available";"payout"
"txn_1GYMFWCmAIcalbBuaDgqyOUM";-199;"2020-04-16T01:10:38Z";"eur";"Curso pedido 45294";"-2,985";"-196,015";"po_1GYMFWCmAIcalbBuArqwgKMk";"available";"payout"
"txn_1IOusfCmAIcalbBuGGANvYkP";-269;"2021-02-26T01:12:33Z";"eur";"Curso pedido 45296";"-4,035";"-264,965";"po_1IOusfCmAIcalbBuMHUZotd6";"available";"payout"
"txn_1IGwUCCmAIcalbBuFc3xeqYx";-29;"2021-02-04T01:18:20Z";"eur";"Curso pedido 45435";"-0,435";"-28,565";"po_1IGwUCCmAIcalbBuMvZ41A84";"available";"payout"
"txn_1HOveaCmAIcalbBuLFb1pE8a";-149;"2020-09-08T01:29:48Z";"eur";"Curso pedido 45453";"-2,235";"-146,765";"po_1HOveaCmAIcalbBuOKpPVYfT";"available";"payout"
"txn_1H4zJuCmAIcalbBuGq8bBew3";-269;"2020-07-15T01:22:02Z";"eur";"Curso pedido 45455";"-4,035";"-264,965";"po_1H4zJuCmAIcalbBuWjADS3lW";"available";"payout"
"txn_1IvY4TCmAIcalbBuO4kUCXW4";-29;"2021-05-27T01:31:37Z";"eur";"Curso pedido 45478";"-0,435";"-28,565";"po_1IvY4TCmAIcalbBuIeRbrQRX";"available";"payout"
"txn_1J2Lk4CmAIcalbBu7IRNlHKj";-199;"2021-06-14T19:46:39Z";"eur";"Curso pedido 45511";"-2,985";"-196,015";"re_1J2Lk3CmAIcalbBueLy5HcwU";"available";"refund"
"txn_1JElBiCmAIcalbBuTEAH7NsB";-29;"2021-07-19T01:22:30Z";"eur";"Curso pedido 45519";"-0,435";"-28,565";"po_1JElBiCmAIcalbBu6OJfw59d";"available";"payout"
"txn_1IaMPjCmAIcalbBufjtWZyCb";-199;"2021-03-29T14:49:59Z";"eur";"Curso pedido 45522";"-2,985";"-196,015";"re_1IaMPjCmAIcalbBuUBuADzup";"available";"refund"
"txn_1I0d1MCmAIcalbBuPX8VN9Fg";-299;"2020-12-21T01:17:07Z";"eur";"Curso pedido 45523";"-4,485";"-294,515";"po_1I0d1MCmAIcalbBumCiIB3qS";"available";"payout"
"txn_1JJpxECmAIcalbBuCQu82ssQ";-149;"2021-08-02T01:28:32Z";"eur";"Curso pedido 45543";"-2,235";"-146,765";"po_1JJpxECmAIcalbBuADbr3An4";"available";"payout"
"txn_1Ie8sOCmAIcalbBuoK9I40Do";-199;"2021-04-09T01:11:12Z";"eur";"Curso pedido 45585";"-2,985";"-196,015";"po_1Ie8sOCmAIcalbBuUjHGDApE";"available";"payout"
"txn_1IgJqtCmAIcalbBuHRJWArHw";-199;"2021-04-15T01:18:39Z";"eur";"Curso pedido 45590";"-2,985";"-196,015";"po_1IgJqtCmAIcalbBu2pUdFgQ1";"available";"payout"
"txn_1GTHVGCmAIcalbBuJWVCJURt";-29;"2020-04-02T01:05:54Z";"eur";"Curso pedido 45597";"-0,435";"-28,565";"po_1GTHVGCmAIcalbBuak9uXckH";"available";"payout"
"txn_1GrZgyCmAIcalbBu5vUoEURU";-199;"2020-06-08T01:22:24Z";"eur";"Curso pedido 45659";"-2,985";"-196,015";"po_1GrZgyCmAIcalbButwEjoCp8";"available";"payout"
"txn_1GXzpHCmAIcalbBulx2VOCrV";-199;"2020-04-15T01:14:03Z";"eur";"Curso pedido 45727";"-2,985";"-196,015";"po_1GXzpHCmAIcalbBu5JoG4Xc7";"available";"payout"
"txn_1HgKJPCmAIcalbBu43RRFSDX";-249;"2020-10-26T01:15:51Z";"eur";"Curso pedido 45728";"-3,735";"-245,265";"po_1HgKJPCmAIcalbBuTCwIfyR3";"available";"payout"
"txn_1HvYKHCmAIcalbBuGhxpLRK7";-199;"2020-12-07T01:15:41Z";"eur";"Curso pedido 45744";"-2,985";"-196,015";"po_1HvYKHCmAIcalbBuqiuZwPw0";"available";"payout"
"txn_1IEla8CmAIcalbBuPh0UoZ3E";-199;"2021-01-29T01:15:28Z";"eur";"Curso pedido 45758";"-2,985";"-196,015";"po_1IEla8CmAIcalbBudxR9eg3W";"available";"payout"
"txn_1IlkzHCmAIcalbBuIulUQPgQ";-29;"2021-04-30T01:17:47Z";"eur";"Curso pedido 45759";"-0,435";"-28,565";"po_1IlkzHCmAIcalbBumR1SCRDm";"available";"payout"
"txn_1IJ7IQCmAIcalbBuX5TKg6gV";-199;"2021-02-10T01:15:10Z";"eur";"Curso pedido 45761";"-2,985";"-196,015";"po_1IJ7IQCmAIcalbBuENZHzLCG";"available";"payout"
"txn_1HoIoACmAIcalbBuG5GCJcBd";-199;"2020-11-17T01:16:34Z";"eur";"Curso pedido 45774";"-2,985";"-196,015";"po_1HoIoACmAIcalbBugBDTnwXq";"available";"payout"
"txn_1J5KmsCmAIcalbBuX0mS72jc";-199;"2021-06-23T01:21:54Z";"eur";"Curso pedido 45782";"-2,985";"-196,015";"po_1J5KmsCmAIcalbBuiSLeqAc6";"available";"payout"
"txn_1IbFDFCmAIcalbBuOGC4eVfS";-199;"2021-04-01T01:20:45Z";"eur";"Curso pedido 45801";"-2,985";"-196,015";"po_1IbFDFCmAIcalbBuWl8maqZ1";"available";"payout"
"txn_1JA2z9CmAIcalbBumKPYwvvI";-199;"2021-07-06T01:22:03Z";"eur";"Curso pedido 45802";"-2,985";"-196,015";"po_1JA2z9CmAIcalbBuDscrqvuz";"available";"payout"
