"numero_de_pedido";"estado_de_pedido";"fecha_de_pedido";"id cliente";"titulo_metodo_de_pago";"importe_de_descuento_del_carrito";"importe_subtotal_carrito";"importe_envio_pedido";"importe_reembolsado_pedido";"importe_total_pedido";"importe_total_de_impuestos_del_pedido";"sku";"articulo_numero";"nombre_del_articulo";"cantidad";"coste_articulo";"cupon_articulo";"importe_descuento";"importe_impuestos_descuento"
42235;"Procesando";"2022-01-11 13:13";594;"Visa ending in 6063";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42238;"Completado";"2022-01-11 14:25";1385;"Pago con tarjeta";40.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42239;"Completado";"2022-01-11 14:38";583;"Pago con tarjeta";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42241;"Completado";"2022-01-11 17:02";716;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42242;"Completado";"2022-01-11 18:05";2634;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42244;"Completado";"2022-01-12 0:01";4051;"Pago con tarjeta";0.0;189.0;0;0;189;0.0;"001-3";1;"Aprende Python desde cero";1;249.0;"";"";""
42245;"Procesando";"2022-01-12 11:03";2138;"Visa ending in 0006";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42248;"Completado";"2022-01-12 12:50";1843;"Pago con tarjeta";50.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42249;"Completado";"2022-01-12 14:34";1847;"Pago con tarjeta";0.0;299.0;0;0;299;0.0;"002-2";1;"Power BI: Como crear dashborads inteligentes";1;199.0;"";"";""
42250;"Completado";"2022-01-12 16:48";1822;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
